Token	Lexeme	Line No
KEYWORD	int	2
IDENTIFIER	a	2
PUNCTUATION	,	2
IDENTIFIER	b	2
PUNCTUATION	,	2
IDENTIFIER	c	2
PUNCTUATION	,	2
IDENTIFIER	d	2
PUNCTUATION	[	2
PUNCTUATION	]	2
PUNCTUATION	,	2
IDENTIFIER	e	2
PUNCTUATION	[	2
INT_CONST	10	2
PUNCTUATION	]	2
PUNCTUATION	;	2
KEYWORD	void	3
KEYWORD	main	3
PUNCTUATION	(	3
PUNCTUATION	)	3
PUNCTUATION	{	3
KEYWORD	if	4
PUNCTUATION	(	4
IDENTIFIER	a	4
OPERATOR	>	4
IDENTIFIER	b	4
PUNCTUATION	)	4
PUNCTUATION	{	4
IDENTIFIER	a	5
OPERATOR	=	5
IDENTIFIER	b	5
PUNCTUATION	}	6
KEYWORD	else	7
PUNCTUATION	{	7
IDENTIFIER	b	8
OPERATOR	=	8
IDENTIFIER	a	8
PUNCTUATION	}	9
PUNCTUATION	}	10
